iter	Passed	Remaining
400	23196	34649
401	23239	34569
402	23299	34516
403	23343	34436
404	23392	34366
405	23435	34287
406	23479	34209
407	23532	34144
408	23579	34072
409	23623	33995
410	23667	33917
411	23712	33841
412	23768	33782
413	23823	33720
414	23870	33649
415	23915	33574
416	23961	33500
417	24015	33437
418	24060	33362
419	24104	33287
420	24150	33214
421	24195	33139
422	24247	33075
423	24295	33004
424	24339	32929
425	24384	32855
426	24429	32781
427	24485	32724
428	24534	32655
429	24579	32581
430	24629	32515
431	24674	32442
432	24730	32383
433	24776	32312
434	24829	32249
435	24880	32185
436	24925	32111
437	24979	32051
438	25003	31951
439	25051	31884
440	25098	31814
441	25141	31740
442	25195	31679
443	25239	31605
444	25282	31532
445	25325	31458
446	25369	31385
447	25423	31325
448	25466	31251
449	25511	31181
450	25562	31117
451	25605	31044
452	25659	30983
453	25705	30914
454	25750	30843
455	25794	30772
456	25853	30718
457	25905	30656
458	25950	30586
459	25994	30515
460	26039	30444
461	26084	30376
462	26142	30320
463	26186	30249
464	26230	30179
465	26273	30107
466	26317	30036
467	26369	29975
468	26413	29905
469	26457	29835
470	26506	29770
471	26550	29700
472	26605	29642
473	26650	29574
474	26697	29507
475	26741	29438
476	26786	29369
477	26844	29315
478	26896	29254
479	26941	29186
480	26985	29117
481	27029	29047
482	27083	28989
483	27130	28923
484	27173	28853
485	27217	28785
486	27262	28717
487	27327	28671
488	27373	28604
489	27381	28499
490	27427	28432
491	27473	28366
492	27525	28307
493	27575	28245
494	27620	28178
495	27664	28110
496	27708	28043
497	27770	27993
498	27813	27925
499	27870	27870
500	27914	27802
501	27957	27734
502	28016	27682
503	28064	27619
504	28108	27551
505	28151	27484
506	28194	27416
507	28243	27353
508	28287	27286
509	28331	27220
510	28375	27153
511	28418	27086
512	28475	27032
513	28527	26973
514	28572	26907
515	28617	26842
516	28662	26777
517	28719	26723
518	28761	26656
519	28805	26589
520	28856	26529
521	28904	26467
522	28957	26410
523	29004	26347
524	29049	26283
525	29094	26218
526	29141	26155
527	29196	26100
528	29241	26035
529	29285	25970
530	29330	25905
531	29374	25840
532	29450	25803
533	29520	25761
534	29600	25727
535	29673	25687
536	29756	25655
537	29843	25627
538	29950	25616
539	30034	25584
540	30121	25555
541	30210	25528
542	30295	25497
543	30368	25456
544	30454	25424
545	30536	25391
546	30616	25355
547	30717	25336
548	30792	25295
549	30874	25261
550	30977	25243
551	31063	25211
552	31148	25177
553	31239	25149
554	31321	25113
555	31406	25080
556	31479	25036
557	31557	24997
558	31643	24963
559	31733	24933
560	31816	24897
561	31900	24862
562	31990	24830
563	32068	24790
564	32141	24746
565	32231	24714
566	32303	24668
567	32382	24629
568	32481	24603
569	32562	24564
570	32627	24513
571	32709	24474
572	32782	24429
573	32848	24379
574	32940	24347
575	33027	24312
576	33113	24275
577	33202	24240
578	33286	24203
579	33371	24165
580	33466	24135
581	33551	24096
582	33641	24062
583	33734	24029
584	33800	23978
585	33880	23936
586	33972	23901
587	34065	23868
588	34148	23828
589	34242	23795
590	34322	23752
591	34385	23697
592	34477	23663
593	34567	23626
594	34648	23584
595	34744	23551
596	34827	23509
597	34911	23468
598	34999	23430
599	35089	23393
600	35175	23352
601	35249	23304
602	35321	23254
603	35408	23215
604	35510	23184
605	35595	23142
606	35678	23099
607	35765	23059
608	35845	23014
609	35933	22973
610	36026	22936
611	36107	22891
612	36168	22833
613	36246	22786
614	36318	22735
615	36396	22688
616	36489	22650
617	36553	22594
618	36627	22544
619	36708	22499
620	36752	22430
621	36798	22363
622	36841	22294
623	36896	22232
624	36949	22169
625	36995	22102
626	37039	22034
627	37084	21967
628	37140	21906
629	37197	21845
630	37242	21779
631	37287	21711
632	37334	21645
633	37379	21578
634	37435	21518
635	37481	21451
636	37529	21386
637	37574	21319
638	37618	21252
639	37676	21192
640	37720	21126
641	37765	21059
642	37810	20992
643	37859	20928
644	37917	20869
645	37961	20802
646	38007	20736
647	38052	20670
648	38101	20606
649	38166	20551
650	38211	20485
651	38255	20418
652	38300	20352
653	38345	20286
654	38402	20227
655	38447	20161
656	38495	20097
657	38545	20034
658	38590	19968
659	38644	19907
660	38688	19842
661	38733	19776
662	38781	19712
663	38827	19647
664	38881	19586
665	38926	19521
666	38971	19456
667	39016	19391
668	39062	19326
669	39124	19270
670	39171	19206
671	39216	19141
672	39262	19077
673	39308	19012
674	39364	18953
675	39413	18890
676	39458	18826
677	39503	18761
678	39551	18697
679	39612	18640
680	39658	18577
681	39713	18517
682	39758	18452
683	39803	18388
684	39858	18328
685	39902	18264
686	39951	18201
687	39996	18138
688	40041	18074
689	40094	18013
690	40153	17955
691	40198	17891
692	40245	17828
693	40297	17767
694	40352	17708
695	40401	17646
696	40448	17583
697	40495	17520
698	40549	17461
699	40597	17399
700	40643	17335
701	40689	17272
702	40734	17209
703	40792	17151
704	40839	17088
705	40886	17026
706	40931	16963
707	40977	16900
708	41029	16840
709	41074	16776
710	41120	16714
711	41182	16657
712	41231	16596
713	41284	16537
714	41332	16475
715	41380	16413
716	41425	16350
717	41480	16291
718	41527	16229
719	41573	16167
720	41619	16105
721	41664	16042
722	41719	15983
723	41768	15922
724	41812	15859
725	41861	15798
726	41907	15736
727	41961	15677
728	42006	15615
729	42050	15552
730	42097	15491
731	42147	15431
732	42206	15373
733	42252	15312
734	42298	15250
735	42346	15189
736	42391	15127
737	42451	15070
738	42498	15009
739	42544	14948
740	42589	14886
741	42634	14824
742	42698	14769
743	42744	14707
744	42791	14646
745	42836	14585
746	42881	14523
747	42941	14466
748	42986	14405
749	43031	14343
750	43076	14282
751	43122	14221
752	43189	14167
753	43235	14106
754	43283	14045
755	43331	13985
756	43377	13924
757	43436	13867
758	43482	13806
759	43527	13745
760	43573	13684
761	43624	13625
762	43679	13567
763	43728	13507
764	43773	13446
765	43819	13385
766	43863	13324
767	43917	13266
768	43963	13206
769	44007	13145
770	44052	13084
771	44097	13023
772	44155	12966
773	44207	12907
774	44253	12847
775	44302	12788
776	44347	12727
777	44405	12670
778	44449	12610
779	44495	12549
780	44541	12489
781	44587	12429
782	44643	12372
783	44690	12312
784	44735	12252
785	44791	12195
786	44837	12135
787	44892	12077
788	44936	12017
789	44980	11956
790	45024	11896
791	45069	11836
792	45122	11778
793	45178	11721
794	45223	11661
795	45270	11602
796	45316	11542
797	45374	11485
798	45388	11418
799	45434	11358
800	45481	11299
801	45526	11239
802	45576	11181
803	45621	11121
804	45667	11062
805	45712	11002
806	45760	10943
807	45811	10886
808	45858	10826
809	45903	10767
810	45950	10708
811	45998	10649
812	46052	10592
813	46097	10533
814	46142	10474
815	46199	10417
816	46246	10358
817	46300	10301
818	46347	10242
819	46392	10183
820	46437	10124
821	46494	10068
822	46589	10019
823	46668	9967
824	46754	9917
825	46835	9866
826	46917	9814
827	47002	9763
828	47086	9712
829	47182	9663
830	47271	9613
831	47361	9563
832	47446	9512
833	47526	9459
834	47619	9409
835	47700	9357
836	47783	9305
837	47869	9254
838	47952	9201
839	48038	9150
840	48122	9098
841	48212	9046
842	48304	8996
843	48392	8944
844	48477	8892
845	48550	8837
846	48635	8785
847	48717	8732
848	48800	8679
849	48886	8627
850	48966	8573
851	49046	8519
852	49129	8466
853	49207	8412
854	49284	8358
855	49368	8304
856	49447	8250
857	49516	8194
858	49603	8142
859	49683	8087
860	49762	8033
861	49832	7977
862	49916	7924
863	49999	7870
864	50088	7817
865	50174	7763
866	50265	7710
867	50356	7657
868	50428	7601
869	50515	7548
870	50599	7494
871	50671	7438
872	50752	7383
873	50840	7329
874	50920	7274
875	51002	7219
876	51103	7167
877	51186	7112
878	51268	7057
879	51361	7003
880	51446	6949
881	51529	6894
882	51622	6840
883	51705	6784
884	51789	6729
885	51875	6674
886	51960	6619
887	52045	6564
888	52135	6509
889	52211	6453
890	52295	6397
891	52385	6342
892	52467	6286
893	52550	6230
894	52639	6175
895	52722	6119
896	52794	6062
897	52874	6005
898	52956	5949
899	53034	5892
900	53123	5837
901	53206	5780
902	53294	5724
903	53381	5668
904	53442	5610
905	53527	5553
906	53613	5497
907	53671	5438
908	53716	5377
909	53761	5317
910	53811	5257
911	53862	5197
912	53905	5136
913	53949	5076
914	53998	5016
915	54051	4956
916	54098	4896
917	54146	4836
918	54190	4776
919	54235	4716
920	54298	4657
921	54343	4597
922	54394	4537
923	54444	4478
924	54492	4418
925	54544	4358
926	54589	4298
927	54633	4238
928	54677	4178
929	54721	4118
930	54774	4059
931	54824	4000
932	54868	3940
933	54912	3880
934	54956	3820
935	55010	3761
936	55054	3701
937	55101	3642
938	55147	3582
939	55193	3523
940	55249	3464
941	55294	3404
942	55338	3344
943	55390	3285
944	55439	3226
945	55497	3167
946	55540	3108
947	55584	3048
948	55627	2989
949	55672	2930
950	55727	2871
951	55770	2811
952	55814	2752
953	55857	2693
954	55901	2634
955	55956	2575
956	56003	2516
957	56047	2457
958	56092	2398
959	56141	2339
960	56194	2280
961	56238	2221
962	56283	2162
963	56330	2103
964	56375	2044
965	56441	1986
966	56485	1927
967	56529	1868
968	56573	1809
969	56617	1751
970	56667	1692
971	56710	1633
972	56753	1574
973	56798	1516
974	56842	1457
975	56899	1399
976	56946	1340
977	56993	1282
978	57039	1223
979	57085	1165
980	57137	1106
981	57182	1048
982	57229	989
983	57273	931
984	57316	872
985	57367	814
986	57426	756
987	57470	698
988	57515	639
989	57559	581
990	57616	523
991	57663	465
992	57706	406
993	57751	348
994	57795	290
995	57846	232
996	57891	174
997	57935	116
998	57979	58
999	58023	0
