iter	RMSE
0	423.215918
1	364.1868203
2	332.0553933
3	315.5073997
4	302.7891396
5	295.7790394
6	288.5640286
7	283.9686554
8	276.6638685
9	272.9362169
10	268.7395908
11	263.0288382
12	259.20194
13	256.0291358
14	252.9208399
15	247.1144649
16	245.8827436
17	241.8938331
18	237.5999899
19	235.8858447
20	231.4851316
21	225.9339253
22	220.0302157
23	219.8045633
24	218.8760256
25	216.1007141
26	214.7130603
27	213.7659709
28	210.6206939
29	208.3838744
30	202.6421357
31	198.1294964
32	194.9057872
33	192.3658633
34	188.3281216
35	185.0497676
36	181.2676408
37	180.4896103
38	178.7493803
39	176.1548631
40	173.1024113
41	169.1862273
42	168.814989
43	164.8787332
44	161.0757306
45	160.829966
46	160.4183175
47	157.0171105
48	154.6720831
49	151.2957661
50	148.7217722
51	148.362961
52	145.4270024
53	143.5594629
54	141.7386507
55	140.3010316
56	139.1082117
57	137.5001749
58	136.4205146
59	136.3433281
60	134.203131
61	134.0662811
62	133.5352827
63	131.3140527
64	129.2654842
65	128.057623
66	126.3761987
67	123.6109359
68	122.5679771
69	120.7247067
70	118.0588661
71	117.4743377
72	115.6419506
73	113.5489913
74	111.6049792
75	110.3280517
76	109.0150868
77	108.6756432
78	108.6475753
79	107.7977446
80	106.3774657
81	104.9517051
82	104.2143538
83	103.2252928
84	101.5916389
85	99.36717022
86	98.80566169
87	98.61546722
88	98.5790608
89	97.15880257
90	96.34986644
91	94.67742986
92	94.17431305
93	92.79631398
94	91.21740952
95	89.96712372
96	88.79562368
97	87.92434876
98	86.90670502
99	85.55904422
100	85.19069914
101	83.71074625
102	82.50857946
103	81.11244848
104	80.64416207
105	79.43480483
106	77.92327403
107	77.00647094
108	76.5341751
109	76.15635394
110	75.36896565
111	74.56533907
112	73.49888693
113	73.15396379
114	72.88753671
115	72.00180841
116	71.1988045
117	69.9116079
118	69.67197164
119	68.78434298
120	68.17042151
121	67.68569637
122	67.07873864
123	66.41719992
124	65.87408371
125	65.01232786
126	63.87645819
127	63.08661091
128	62.31337721
129	62.30130351
130	61.91301476
131	60.80235559
132	60.3141518
133	60.25190146
134	59.60078156
135	59.22526829
136	58.41541532
137	58.07433959
138	57.66378923
139	57.28924779
140	56.58685155
141	56.56714756
142	56.01022139
143	55.90244953
144	55.30155742
145	54.67496988
146	54.49168428
147	54.24283546
148	53.76901277
149	53.74253669
150	53.24511831
151	52.98757751
152	52.78001872
153	51.96553303
154	51.80140773
155	51.33488565
156	50.45276332
157	49.67469852
158	49.14317034
159	48.46472883
160	47.93947046
161	47.58405284
162	47.04229016
163	46.91369676
164	46.4020195
165	45.89365205
166	45.41907006
167	45.04815285
168	44.66097497
169	44.29139188
170	43.96406619
171	43.63630098
172	43.33194128
173	42.81679547
174	42.59864008
175	42.26665308
176	41.79963536
177	41.62732164
178	41.33373692
179	40.96453332
180	40.45728269
181	40.04884444
182	39.40974023
183	39.02961962
184	38.51953484
185	38.07034997
186	37.83082829
187	37.48906559
188	37.45273772
189	37.30525404
190	36.90842753
191	36.36133265
192	36.16258779
193	36.05692288
194	35.62193706
195	35.51809766
196	35.19435403
197	34.96198352
198	34.81821362
199	34.43896629
200	34.07251762
201	33.80651293
202	33.36402549
203	33.16644965
204	33.15452115
205	32.88853214
206	32.68361925
207	32.57009752
208	32.33689341
209	32.08371949
210	31.65729562
211	31.48988781
212	31.15188165
213	30.83829277
214	30.49968857
215	30.06636453
216	29.90926062
217	29.68501853
218	29.47401769
219	29.36796452
220	29.32448457
221	29.13853945
222	29.0609804
223	28.80420292
224	28.65370461
225	28.57135979
226	28.34697934
227	28.11720824
228	27.87684899
229	27.45730519
230	27.0647112
231	26.88534287
232	26.70208447
233	26.34712742
234	26.08842614
235	26.08448451
236	25.95255617
237	25.77065657
238	25.65034839
239	25.33746421
240	25.32148161
241	25.29766481
242	25.10454075
243	24.75466886
244	24.58214059
245	24.243033
246	23.90011947
247	23.78665443
248	23.7593684
249	23.66429146
250	23.44387561
251	23.18005487
252	22.955193
253	22.67232285
254	22.5278813
255	22.33373216
256	22.19385398
257	22.05226092
258	21.80654403
259	21.55281985
260	21.4359373
261	21.33539627
262	21.23086193
263	21.01123409
264	20.74344262
265	20.72143802
266	20.55284954
267	20.31677246
268	20.11537841
269	19.95297851
270	19.91003215
271	19.84465398
272	19.63991385
273	19.57764013
274	19.39887471
275	19.07451245
276	18.99096418
277	18.88469174
278	18.68937069
279	18.62906244
280	18.34198034
281	18.31156218
282	18.21219866
283	18.13228459
284	17.9073193
285	17.82499378
286	17.65242877
287	17.47198213
288	17.34214448
289	17.23840906
290	17.15301364
291	17.04357152
292	16.92964766
293	16.80484189
294	16.73015595
295	16.57441653
296	16.4834201
297	16.43441493
298	16.3114831
299	16.28272
300	16.18682123
301	16.07353309
302	16.03138613
303	15.95522936
304	15.85235662
305	15.74832534
306	15.68042261
307	15.43608764
308	15.36908633
309	15.30757022
310	15.20765559
311	15.14474256
312	14.98376476
313	14.80750483
314	14.67222152
315	14.57682375
316	14.45178144
317	14.39614311
318	14.265526
319	14.13907465
320	14.05522379
321	13.92881371
322	13.81389349
323	13.60662098
324	13.45644179
325	13.4449458
326	13.31417077
327	13.25615297
328	13.20519053
329	13.04243354
330	12.87371133
331	12.7978242
332	12.78238012
333	12.7198821
334	12.67354081
335	12.66413386
336	12.5157647
337	12.45246696
338	12.30803928
339	12.15189678
340	12.08898681
341	11.93517874
342	11.85811868
343	11.85673362
344	11.82631262
345	11.7887539
346	11.71761855
347	11.61815878
348	11.61514738
349	11.52339096
350	11.46268913
351	11.37111259
352	11.25597841
353	11.15894485
354	11.08444488
355	10.97308435
356	10.95763963
357	10.92787926
358	10.83371224
359	10.73724853
360	10.67396722
361	10.61171354
362	10.52799172
363	10.51658944
364	10.39263324
365	10.37316561
366	10.3427767
367	10.25432813
368	10.21345808
369	10.18668149
370	10.10321932
371	10.06695996
372	9.999210731
373	9.950319288
374	9.935693627
375	9.86585923
376	9.810336121
377	9.710987408
378	9.641145514
379	9.547807798
380	9.436435077
381	9.381817557
382	9.380498561
383	9.379870258
384	9.285200214
385	9.201255203
386	9.187522888
387	9.085410598
388	9.021139277
389	8.970989908
390	8.922502524
391	8.806074828
392	8.754098497
393	8.752851048
394	8.69937603
395	8.631619524
396	8.582908337
397	8.532143814
398	8.472575141
399	8.433168766
400	8.358290092
401	8.295959183
402	8.285708452
